A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
0.140422,0.153104,0.167521,0.164309,0.141137,0.155547,0.159942,0.147992,0.141901,0.144286,0.141226,0.135824,0.156238,0.139426,0.14205,0.143978,0.137469,0.176942,0.146144,0.140283
0.0939018,0.119463,0.112269,0.121533,0.113941,0.120509,0.118566,0.101976,0.105234,0.111815,0.112566,0.0949502,0.13392,0.0888986,0.119642,0.104988,0.0995497,0,0.113513,0.10736
0.0384308,0.0441233,0.0415261,0.0426763,0.0324752,0.0520853,0.0421062,0.0402269,0.039394,0.0462034,0.0343184,0.0370734,0,0.0419345,0.0539407,0.035588,0.0546097,0,0.0501477,0.0509664
