A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
0.142114,0.139065,0.163938,0.160494,0.132997,0.149063,0.15196,0.153801,0.146942,0.145904,0.143357,0.140176,0.148838,0.136981,0.142544,0.151047,0.138448,0.169003,0.139403,0.142063
0.111247,0.115129,0.125695,0.118961,0.109642,0.121926,0.115846,0.121012,0.110987,0.118775,0.10833,0.111529,0.127003,0.105568,0.117691,0.107493,0.103294,0,0.106712,0.112908
0.0405229,0.031375,0.0328192,0.0415771,0.0319498,0.0408482,0.040477,0.0309176,0.0288164,0.0396582,0.0298373,0.0381894,0,0.0303825,0.0468591,0.0357649,0.0336908,0,0.0295971,0.0320619
