A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
0.142859,0.141062,0.177487,0.150927,0.150672,0.158483,0.160539,0.148881,0.140719,0.140176,0.143836,0.150232,0.151327,0.1497,0.137598,0.148232,0.140299,0.176796,0.15272,0.133949
0.102905,0.099928,0,0.109641,0.113246,0.113711,0.116468,0.103018,0.0960158,0.105143,0.117104,0.111404,0.128716,0.0970185,0.0940461,0.113004,0.105159,0.128793,0.108887,0.109003
0.0420419,0.0430526,0,0.0652746,0.0619677,0.0581844,0.060092,0.0507144,0.0378208,0.0590095,0.0422846,0.0550157,0.061906,0.0469535,0.0555423,0.051382,0.0639336,0,0.051646,0.0385702
