A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
0.14857,0.136491,0.167563,0.147671,0.143216,0.154011,0.152493,0.154134,0.142826,0.13598,0.14738,0.150516,0.145662,0.147622,0.140995,0.149612,0.140248,0.170334,0.144967,0.135869
0.108628,0.10035,0.117684,0.116995,0.100179,0.110739,0.104026,0.115279,0.10096,0.106271,0.102579,0.11626,0.109066,0.107713,0.101728,0.098894,0.0935404,0,0.107908,0.101818
0.0596255,0.0610153,0,0.0678444,0.0729917,0.0708594,0.0615273,0.0653007,0.0630028,0.0666277,0.0554117,0.0568932,0.0597322,0.0611373,0.0640164,0.058847,0.0643814,0,0.0638561,0.0486155
